id,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
1,1,ALL IMPACT Management,0,NA,0,Nordrhein Westfalen
2,1,Krueger_Rizzi Management,0,NA,0,Rheinland Pfalz
3,1,MOONGENCY,0,NA,0,Hamburg
4,1,fourfour Studio,0,NA,0,Berlin
5,1,fyndafit,0,NA,0,Berlin
6,1,ReachOn,0,NA,0,Hessen
7,1,Rocks Agency,0,NA,0,Nordrhein Westfalen
8,1,StudioSEVENONE,0,NA,0,Berlin
9,1,lookfamed,0,NA,0,Niedersachsen
10,1,Social Media One,0,NA,0,Nordrhein Westfalen
11,2,More Nutrition,0,NA,700,Schleswig Holstein
12,2,ESN,0,NA,700,Schleswig Holstein
13,2,fayn,0,NA,0,Bayern
14,2,KoRo Handels GmbH,0,NA,87,Berlin
15,2,foodspring,0,NA,20,Berlin
16,2,Hello Fresh,0,NA,7610,Berlin
17,2,Naturally Pam,0,NA,0,Hamburg
18,2,Wholey,0,NA,0,Berlin
19,2,McDonalds,0,NA,0,USA Illinois
20,2,Kaufland,0,NA,0,Baden Wuerttemberg
21,2,Lipton,0,NA,0,UK Bedfordshire
22,2,Coca Cola,0,NA,0,USA Georgia
23,2,Rittersport,0,NA,0,Baden Wuerttemberg
24,2,Fanta,0,NA,0,USA Georgia
25,2,Pizza Hut,0,NA,0,USA Texas
26,2,Pepsi,0,NA,0,USA New York
27,2,Dunkin Donuts,0,NA,0,USA Massachusetts
28,2,Dominos Pizza,0,NA,0,USA Michigan
29,1,likeyaa,0,NA,0,Nordrhein Westfalen
30,3,MinimaLara,713,tiktok,0,Nordrhein Westfalen
31,3,Maxine Reuker,146,instagram,0,Berlin
32,3,julesboringlife,6900,tiktok,0,Baden Wuerttemberg
33,3,paula_doeringer,544,instagram,0,Nordrhein Westfalen
34,3,mariomller,383,instagram,0,Baden Wuerttemberg
35,3,fitgreenmind,4000,instagram,0,Saarland
36,3,Sturmwaffel,1970,youtube,0,Nordrhein Westfalen
37,3,pamela_rf,9100,instagram,0,Baden Wuerttemberg
38,3,biancazapatka,727,instagram,0,Nordrhein Westfalen
39,3,sallyswelt,1200,instagram,0,Baden Wuerttemberg
40,3,simondesue,1900,instagram,0,Dubai UAE
41,3,helenefischer,1100,instagram,0,Bayern
42,3,kloppo,4600,instagram,0,Baden-Wuerttemberg
43,3,billkaulitz,2000,instagram,0,USA California
44,3,knossi,1800,twitch,0,Baden Wuerttemberg
45,3,shirindavid,6600,instagram,0,Nordrhein Westfalen
46,3,twentyFOURtim,5300,tiktok,0,Nordrhein Westfalen
47,3,dielochis,154,instagram,0,Hessen
48,3,aarontroschke,315,instagram,0,Berlin
49,3,slavik_maFOUR,1200,instagram,0,Saarland
50,3,Ben Bernschneider,439,instagram,0,Nordrhein Westfalen
51,3,max echtso,1100,tiktok,0,Schleswig Holstein
52,3,viktoriasarina,2060,youtube,0,Austria
53,3,juliabeautx,4000,instagram,0,Nordrhein Westfalen
54,3,lottastichler,480,instagram,0,Schweden
55,3,julienbam,4900,instagram,0,Nordrhein Westfalen
56,3,Iamzuckerpuppe,2200,tiktok,0,Berlin
57,3,azure agency,0,NA,0,Nordrhein Westfalen
58,3,alberto,195,instagram,0,Niedersachsen
59,3,flyinguwe,798,instagram,0,Hamburg
60,2,neosupps,0,NA,0,Hamburg
61,3,yilmazhummel,0,NA,0,Berlin
62,3,getfitbyleo,56,instagram,0,NA
63,3,sophiathiel,1300,instagram,0,Berlin
64,2,AGONE,0,NA,100,Irland Dublin
65,3,malika_babel,815,instagram,0,Berlin
66,3,marceggers,327,instagram,0,Nordrhein Westfalen
67,3,niko_rittenau,134,instagram,0,Liechtenstein
68,3,leonie kommoss,123,instagram,0,Berlin
69,2,EVO SPORTS FUEL GmbH,0,NA,476,Nordrhein Westfalen
70,2,PRO Fitness Motivation GmbH,0,NA,0,Austria
71,3,sascha_huber_official,653,instagram,0,Austria
72,2,PeoplesSquare GmbH,0,NA,0,Baden Wuerttemberg
73,3,paulinawallner,229,instagram,0,Austria
74,3,lenaajoy,503,instagram,0,Baden Wuerttemberg
75,3,fitbyeni,116,instagram,0,Nordrhein Westfalen
76,3,bro_sep,184,instagram,0,Nordrhein Westfalen
77,2,Rocka Nutrition,0,NA,22,Berlin
78,3,ramon_limacher,238,instagram,0,NA
79,3,floriansimunovic,15,instagram,0,NA
80,2,Holy Energy,0,NA,60,Berlin
81,2,Monster Beverage,0,NA,7000,USA
82,3,timrbtz,111,instagram,0,Nordrhein Westfalen
83,3,christianwolf,1100,instagram,0,Kapstadt
84,3,rominapalm,1000,instagram,0,Nordrhein Westfalen
85,3,Just Nero,485,youtube,0,Nordrhein Westfalen
86,3,Klengan,592,youtube,0,NA
87,3,bienesfitlife,569,instagram,0,NA
88,3,domi west,493,instagram,0,NA
89,3,Kyzer,226,youtube,0,Austria
90,3,Ruhepuls,152,youtube,0,NA
91,3,herstoryfeed,174,instagram,0,NA
92,1,onlinetitans,0,NA,0,Baden Wuerttemberg
93,3,lea_tntw,7,instagram,0,NA
94,1,OHEY Artist Management,0,NA,0,Hamburg
95,3,lucyfischer,252,instagram,0,Baden Wuerttemberg
96,3,antoniaelena_official,1300,instagram,0,Bayern 
97,3,jax vita,559,instagram,0,Nordrhein Westfalen
98,3,aylinaphrodite,327,instagram,0,Baden Wuerttemberg
99,3,edda elisa,239,instagram,0,NA
100,1,One True Agency,0,NA,0,Berlin
101,3,linadueren,359,instagram,0,Nordrhein Westfalen
102,3,hannaahcarolina,206,instagram,0,Nordrhein Westfalen
103,3,lenaajoy,502,instagram,0,NA
104,3,luisa tabbert,444,instagram,0,NA
105,3,marenmorereal,88,instagram,0,NA
106,3,louispannhorst,24,instagram,0,Niedersachsen
107,3,vxtez,19,instagram,0,NA
108,3,xculex,27,instagram,0,NA
109,3,lexikar,28,instagram,0,NA
110,3,madlensdiary,213,instagram,0,NA
111,3,Frankly Agency,0,NA,0,Austria
112,2,Mio Mio,0,NA,20,Niedersachsen
113,2,veganfoodlove,0,NA,0,Nordrhein Westfalen
114,3,esmuellert,14700,instagram,0,Bayern
115,3,wesleyvissers,1000,instagram,0,Niederlande
116,3,karlessdotcom,350,youtube,0,Baden Wuerttemberg
117,3,laserluca,4100,instagram,0,Nordrhein Westfalen
118,3,lisa_msw_ibbpro,43,instagram,0,NA
119,2,Gustavo Gusto,0,NA,0,Bayern
120,2,Coppenrath und Wiese,0,NA,0,Nordrhein Westfalen
121,3,jessicaabock,320,instagram,0,Nordrhein Westfalen
122,1,Social Groth Studio,0,NA,0,Schleswig Holstein
123,3,tigerlariz,189,instagram,0,Nordrhein Westfalen
124,3,gerdalewis,995,instagram,0,Nordrhein Westfalen
125,3,growingannanas,1500,instagram,0,NA
